points[0] : x: 800, y: 60
points_centre[96] : x: 800, y: 320
points_centre[97] : x: 840, y: 340
points_centre[98] : x: 880, y: 360
points_centre[99] : x: 920, y: 380
points_centre[100] : x: 960, y: 400
points_centre[101] : x: 1000, y: 420
points_centre[102] : x: 1040, y: 440
points_centre[103] : x: 1080, y: 460
points_centre[104] : x: 1120, y: 480
points_centre[105] : x: 520, y: 220
points_centre[106] : x: 560, y: 240
points_centre[107] : x: 600, y: 260
points_centre[108] : x: 640, y: 280
points_centre[109] : x: 680, y: 300
points_centre[110] : x: 720, y: 320
points_centre[111] : x: 760, y: 340
points_centre[112] : x: 800, y: 360
points_centre[113] : x: 840, y: 380
points_centre[114] : x: 880, y: 400
points_centre[115] : x: 920, y: 420
points_centre[116] : x: 960, y: 440
points_centre[117] : x: 1000, y: 460
points_centre[118] : x: 1040, y: 480
points_centre[119] : x: 1080, y: 500
points_centre[120] : x: 480, y: 240
points_centre[121] : x: 520, y: 260
points_centre[122] : x: 560, y: 280
points_centre[123] : x: 600, y: 300
points_centre[124] : x: 640, y: 320
points_centre[125] : x: 680, y: 340
points_centre[126] : x: 720, y: 360
points_centre[127] : x: 760, y: 380
points_centre[128] : x: 800, y: 400
points_centre[129] : x: 840, y: 420
points_centre[130] : x: 880, y: 440
points_centre[131] : x: 920, y: 460
points_centre[132] : x: 960, y: 480
points_centre[133] : x: 1000, y: 500
points_centre[134] : x: 1040, y: 520
points_centre[135] : x: 440, y: 260
points_centre[136] : x: 480, y: 280
points_centre[137] : x: 520, y: 300
points_centre[138] : x: 560, y: 320
points_centre[139] : x: 600, y: 340
points_centre[140] : x: 640, y: 360
points_centre[141] : x: 680, y: 380
points_centre[142] : x: 720, y: 400
points_centre[143] : x: 760, y: 420
points_centre[144] : x: 800, y: 440
points_centre[145] : x: 840, y: 460
points_centre[146] : x: 880, y: 480
points_centre[147] : x: 920, y: 500
points_centre[148] : x: 960, y: 520
points_centre[149] : x: 1000, y: 540
points_centre[150] : x: 400, y: 280
points_centre[151] : x: 440, y: 300
points_centre[152] : x: 480, y: 320
points_centre[153] : x: 520, y: 340
points_centre[154] : x: 560, y: 360
points_centre[155] : x: 600, y: 380
points_centre[156] : x: 640, y: 400
points_centre[157] : x: 680, y: 420
points_centre[158] : x: 720, y: 440
points_centre[159] : x: 760, y: 460
points_centre[160] : x: 800, y: 480
points_centre[161] : x: 840, y: 500
points_centre[162] : x: 880, y: 520
points_centre[163] : x: 920, y: 540
points_centre[164] : x: 960, y: 560
points_centre[165] : x: 360, y: 300
points_centre[166] : x: 400, y: 320
points_centre[167] : x: 440, y: 340
points_centre[168] : x: 480, y: 360
points_centre[169] : x: 520, y: 380
points_centre[170] : x: 560, y: 400
points_centre[171] : x: 600, y: 420
points_centre[172] : x: 640, y: 440
points_centre[173] : x: 680, y: 460
points_centre[174] : x: 720, y: 480
points_centre[175] : x: 760, y: 500
points_centre[176] : x: 800, y: 520
points_centre[177] : x: 840, y: 540
points_centre[178] : x: 880, y: 560
points_centre[179] : x: 920, y: 580
points_centre[180] : x: 320, y: 320
points_centre[181] : x: 360, y: 340
points_centre[182] : x: 400, y: 360
points_centre[183] : x: 440, y: 380
points_centre[184] : x: 480, y: 400
points_centre[185] : x: 520, y: 420
points_centre[186] : x: 560, y: 440
points_centre[187] : x: 600, y: 460
points_centre[188] : x: 640, y: 480
points_centre[189] : x: 680, y: 500
points_centre[190] : x: 720, y: 520
points_centre[191] : x: 760, y: 540
points_centre[192] : x: 800, y: 560
points_centre[193] : x: 840, y: 580
points_centre[194] : x: 880, y: 600
points_centre[195] : x: 280, y: 340
points_centre[196] : x: 320, y: 360
points_centre[197] : x: 360, y: 380
points_centre[198] : x: 400, y: 400
points_centre[199] : x: 440, y: 420
points_centre[200] : x: 480, y: 440
points_centre[201] : x: 520, y: 460
points_centre[202] : x: 560, y: 480
points_centre[203] : x: 600, y: 500
points_centre[204] : x: 640, y: 520
points_centre[205] : x: 680, y: 540
points_centre[206] : x: 720, y: 560
points_centre[207] : x: 760, y: 580
points_centre[208] : x: 800, y: 600
points_centre[209] : x: 840, y: 620
points_centre[210] : x: 240, y: 360
points_centre[211] : x: 280, y: 380
points_centre[212] : x: 320, y: 400
points_centre[213] : x: 360, y: 420
points_centre[214] : x: 400, y: 440
points_centre[215] : x: 440, y: 460
points_centre[216] : x: 480, y: 480
points_centre[217] : x: 520, y: 500
points_centre[218] : x: 560, y: 520
points_centre[219] : x: 600, y: 540
points_centre[220] : x: 640, y: 560
points_centre[221] : x: 680, y: 580
points_centre[222] : x: 720, y: 600
points_centre[223] : x: 760, y: 620
points_centre[224] : x: 800, y: 640
